Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Pos,Pos_encoded
75.0,319.0,5.17,27.11,25.0,106.41,7.56,4.62,OL_2148,4
73.0,240.0,4.84,29.88,18.0,111.37,7.29,4.39,FB_726,2
76.0,230.0,4.96,29.4,20.0,109.61,7.09,4.28,QB_334,5
78.0,324.0,5.25,30.07,21.0,107.14,8.03,4.71,OL_2201,4
71.0,193.0,4.56,34.45,13.0,122.04,6.88,4.25,CB_369,0
73.0,237.0,4.82,34.14,26.0,118.23,7.3,4.2,LB_1216,3
72.0,209.0,4.62,33.93,18.0,122.49,6.99,4.22,S_23,7
76.0,325.0,5.18,27.52,22.0,101.48,7.69,4.72,OL_2872,4
75.0,219.0,4.73,31.32,16.0,112.15,7.34,4.33,QB_1560,5
77.0,312.0,5.25,24.76,21.0,100.47,7.79,4.61,OL_2031,4
77.0,250.0,4.69,33.2,20.0,119.45,7.04,4.39,TE_1557,8
75.0,248.0,4.8,32.09,19.0,116.0,7.22,4.3,TE_568,8
72.0,211.0,4.51,35.66,16.0,125.63,6.79,4.25,S_181,7
72.0,193.0,4.46,37.24,15.0,117.95,6.83,4.23,WR_1733,9
73.0,252.0,4.68,29.61,26.0,113.03,7.24,4.35,FB_1866,2
74.0,209.0,4.46,35.71,17.0,116.14,7.04,4.32,WR_1687,9
74.0,237.0,4.78,31.07,21.0,119.08,6.93,4.25,LB_1716,3
73.0,242.0,4.65,36.93,22.0,118.75,7.12,4.17,LB_2486,3
76.0,293.0,5.03,32.5,24.0,105.19,7.48,4.5,DL_2732,1
73.0,209.0,4.6,34.31,14.0,117.63,6.88,4.21,S_1686,7
69.0,218.0,4.47,31.89,20.0,123.27,7.07,4.29,RB_1521,6
71.0,200.0,4.58,36.04,12.0,123.94,6.96,4.13,CB_2813,0
74.0,221.0,4.71,31.85,21.0,114.96,7.06,4.36,QB_2355,5
77.0,252.0,4.79,34.32,19.0,111.12,7.29,4.33,TE_2263,8
75.0,227.0,4.87,29.42,16.0,112.24,7.29,4.39,QB_1221,5
70.0,187.0,4.51,37.98,14.0,123.46,6.85,4.04,CB_1034,0
73.0,239.0,4.7,31.45,23.0,112.69,7.35,4.39,FB_428,2
74.0,231.0,4.74,31.27,15.0,111.57,7.03,4.3,QB_2745,5
77.0,260.0,4.85,33.16,24.0,119.64,7.0,4.3,TE_1095,8
76.0,263.0,4.86,34.07,28.0,115.97,7.59,4.58,DL_2131,1
77.0,320.0,5.25,28.5,26.0,102.38,8.07,4.8,OL_2197,4
75.0,298.0,4.92,30.63,23.0,105.75,7.46,4.56,DL_2848,1
71.0,194.0,4.49,37.84,15.0,120.03,7.01,4.16,CB_1856,0
73.0,241.0,4.7,31.46,25.0,112.07,7.31,4.5,FB_1266,2
71.0,185.0,4.44,34.94,16.0,124.33,7.05,4.11,CB_575,0
77.0,315.0,5.19,27.3,23.0,104.1,7.64,4.55,OL_2241,4
72.0,202.0,4.56,34.13,23.0,115.01,7.12,4.4,RB_1171,6
75.0,251.0,4.68,32.84,22.0,113.33,7.36,4.48,TE_2092,8
75.0,233.0,4.64,36.56,26.0,113.96,7.11,4.38,LB_2852,3
72.0,244.0,4.67,36.7,25.0,119.33,7.09,4.32,LB_1890,3
76.0,305.0,4.78,28.7,22.0,112.9,7.71,4.6,DL_2085,1
70.0,187.0,4.48,35.67,15.0,123.28,6.81,4.26,CB_2262,0
72.0,199.0,4.46,34.23,16.0,116.75,7.07,4.17,CB_2007,0
74.0,234.0,4.86,28.43,20.0,108.49,6.95,4.27,QB_17,5
74.0,229.0,4.88,31.81,20.0,116.42,6.96,4.42,QB_1861,5
74.0,270.0,5.06,34.41,29.0,104.09,7.5,4.64,DL_99,1
75.0,312.0,5.2,28.63,21.0,105.51,7.71,4.81,OL_152,4
71.0,212.0,4.54,32.35,19.0,113.81,7.12,4.15,RB_442,6
72.0,210.0,4.48,36.44,15.0,122.27,6.93,4.07,S_2078,7
74.0,226.0,4.68,31.89,22.0,109.19,7.14,4.31,QB_1113,5
75.0,214.0,4.85,31.06,23.0,113.45,7.23,4.19,QB_744,5
75.0,190.0,4.52,34.08,13.0,118.92,7.13,4.2,WR_4,9
73.0,217.0,4.65,36.86,16.0,120.43,6.84,4.06,S_1937,7
73.0,246.0,4.61,33.64,19.0,113.85,6.93,4.42,LB_2919,3
71.0,221.0,4.6,31.61,20.0,123.15,7.03,4.31,RB_1345,6
75.0,265.0,4.89,32.32,30.0,110.76,7.3,4.7,DL_127,1
76.0,267.0,5.16,27.66,24.0,115.32,7.49,4.42,DL_994,1
75.0,241.0,4.68,34.22,23.0,116.1,7.19,4.24,LB_937,3
75.0,290.0,5.06,31.99,29.0,113.71,7.19,4.48,DL_655,1
73.0,236.0,4.73,32.65,24.0,109.29,7.42,4.51,FB_2981,2
72.0,205.0,4.52,33.27,18.0,118.02,7.22,4.06,S_2049,7
77.0,256.0,4.86,30.36,17.0,116.2,7.04,4.47,TE_1778,8
73.0,235.0,4.65,32.93,26.0,111.79,7.28,4.15,LB_753,3
70.0,216.0,4.59,33.77,17.0,119.37,7.09,4.28,RB_493,6
71.0,192.0,4.44,35.48,15.0,117.4,6.78,4.25,CB_2412,0
72.0,192.0,4.55,36.9,15.0,119.41,7.04,4.22,CB_1203,0
71.0,237.0,4.85,30.28,24.0,109.89,7.09,4.44,FB_1157,2
73.0,209.0,4.51,34.11,19.0,118.09,6.8,4.22,S_1972,7
71.0,193.0,4.42,36.26,16.0,123.74,7.01,4.26,CB_1798,0
71.0,210.0,4.61,32.54,13.0,118.09,6.96,4.25,WR_2548,9
71.0,193.0,4.46,36.28,15.0,119.19,6.85,4.05,CB_1521,0
71.0,200.0,4.54,38.0,13.0,119.24,7.07,4.07,CB_2767,0
75.0,222.0,4.88,32.05,17.0,116.72,6.94,4.4,QB_2870,5
74.0,206.0,4.59,32.47,11.0,119.74,7.01,4.24,WR_787,9
75.0,221.0,4.77,31.56,18.0,104.51,7.01,4.34,QB_513,5
74.0,227.0,4.77,28.91,16.0,115.73,7.35,4.18,QB_2615,5
75.0,260.0,4.86,35.69,19.0,115.59,7.26,4.4,TE_1444,8
78.0,310.0,5.3,27.96,27.0,104.2,7.86,4.77,OL_2181,4
72.0,235.0,4.6,34.06,24.0,116.92,7.17,4.2,LB_1148,3
75.0,295.0,4.91,29.26,24.0,106.28,7.18,4.73,DL_2861,1
70.0,188.0,4.51,34.96,12.0,124.12,6.75,4.24,CB_1292,0
77.0,311.0,5.16,26.11,23.0,100.73,8.15,4.94,OL_770,4
73.0,189.0,4.56,34.09,13.0,121.68,6.89,4.04,CB_1499,0
72.0,224.0,4.63,34.42,19.0,112.69,7.06,4.22,RB_1752,6
73.0,250.0,4.85,35.09,27.0,115.87,7.38,4.34,FB_944,2
75.0,225.0,4.77,29.04,17.0,106.71,7.09,4.43,QB_2992,5
78.0,323.0,5.34,26.98,25.0,97.44,8.12,4.9,OL_837,4
71.0,211.0,4.62,37.26,17.0,118.07,6.8,4.24,S_2841,7
76.0,303.0,4.93,33.36,24.0,106.3,7.59,4.73,DL_1173,1
73.0,210.0,4.53,36.27,17.0,125.9,7.0,4.09,WR_1884,9
74.0,245.0,4.83,31.43,27.0,111.65,7.25,4.33,FB_1714,2
77.0,261.0,4.89,33.46,22.0,115.38,7.17,4.45,TE_2817,8
75.0,283.0,5.15,31.26,28.0,115.0,7.72,4.49,DL_2219,1
75.0,201.0,4.48,37.51,13.0,123.23,6.87,4.34,WR_201,9
75.0,188.0,4.48,33.66,15.0,120.15,7.04,4.17,WR_2320,9
77.0,301.0,5.19,29.09,21.0,103.35,7.61,4.91,OL_2226,4
72.0,198.0,4.56,33.85,14.0,124.65,6.84,4.34,WR_2922,9
72.0,214.0,4.58,35.87,18.0,124.27,7.11,4.25,S_2905,7
72.0,188.0,4.45,37.59,12.0,119.19,7.03,4.16,WR_723,9
77.0,260.0,4.84,36.08,18.0,109.1,7.15,4.34,TE_2678,8
76.0,290.0,5.04,32.08,30.0,102.96,7.58,4.63,DL_1385,1
73.0,209.0,4.53,34.59,14.0,120.59,7.0,4.26,WR_2068,9
71.0,201.0,4.57,33.63,14.0,117.57,6.88,4.33,S_2285,7
72.0,215.0,4.54,36.86,16.0,123.78,6.81,4.3,S_2554,7
77.0,275.0,4.8,31.8,24.0,112.9,7.63,4.56,DL_124,1
72.0,253.0,4.73,35.21,28.0,108.9,7.52,4.23,FB_1686,2
71.0,228.0,4.6,33.84,16.0,118.3,7.09,4.31,RB_2395,6
77.0,319.0,5.2,29.4,24.0,98.69,7.72,4.83,OL_2863,4
70.0,200.0,4.57,36.5,14.0,125.44,7.11,4.22,CB_2960,0
70.0,192.0,4.47,33.46,19.0,118.76,6.91,4.17,CB_2580,0
78.0,306.0,5.42,25.7,20.0,98.46,7.92,4.67,OL_1686,4
73.0,241.0,4.71,31.68,20.0,113.95,7.02,4.2,LB_1046,3
72.0,210.0,4.54,36.82,18.0,117.08,7.15,4.18,RB_309,6
74.0,231.0,4.72,32.06,23.0,106.78,7.2,4.2,QB_2110,5
70.0,189.0,4.43,36.53,16.0,119.43,7.01,4.14,CB_1688,0
74.0,233.0,4.72,30.17,23.0,106.9,7.08,4.27,QB_1109,5
72.0,237.0,4.65,31.17,20.0,108.04,7.05,4.41,FB_185,2
74.0,226.0,4.75,30.9,19.0,107.98,7.27,4.3,QB_922,5
69.0,209.0,4.59,32.63,23.0,119.92,7.21,4.13,RB_2611,6
72.0,218.0,4.6,32.74,23.0,116.64,7.01,4.29,RB_1844,6
74.0,231.0,4.93,28.84,20.0,115.5,7.25,4.26,QB_451,5
72.0,213.0,4.65,34.16,17.0,118.38,6.99,4.18,RB_663,6
71.0,209.0,4.51,35.9,16.0,121.65,6.81,4.13,S_1357,7
78.0,256.0,4.83,35.44,21.0,115.86,7.11,4.35,TE_2033,8
73.0,246.0,4.71,33.13,26.0,115.73,7.04,4.27,LB_1531,3
72.0,201.0,4.63,37.75,19.0,121.78,7.11,4.29,S_1241,7
72.0,212.0,4.57,32.23,18.0,115.37,7.17,4.13,RB_639,6
77.0,319.0,5.09,27.08,22.0,99.7,8.16,4.79,OL_1,4
73.0,204.0,4.57,35.23,17.0,116.4,7.09,4.21,WR_795,9
70.0,190.0,4.43,38.73,12.0,119.33,7.11,4.06,CB_1678,0
73.0,211.0,4.53,32.13,11.0,117.35,7.14,4.21,WR_1756,9
72.0,201.0,4.48,32.14,16.0,116.85,7.13,4.31,RB_1597,6
74.0,203.0,4.56,37.98,15.0,118.49,7.01,4.32,WR_1969,9
69.0,213.0,4.52,35.62,22.0,114.92,7.04,4.26,RB_285,6
73.0,210.0,4.63,37.89,20.0,118.35,6.96,4.21,S_2434,7
75.0,229.0,5.0,30.99,22.0,105.58,7.1,4.43,QB_1837,5
77.0,316.0,5.11,27.88,23.0,104.47,7.63,4.62,OL_2207,4
72.0,245.0,4.7,33.37,21.0,111.28,7.08,4.54,FB_1147,2
77.0,264.0,4.89,34.71,19.0,116.55,7.36,4.35,TE_1813,8
74.0,231.0,4.87,28.37,18.0,113.42,7.16,4.24,QB_1764,5
76.0,318.0,5.18,30.74,27.0,100.93,8.09,4.88,OL_527,4
77.0,258.0,4.86,31.63,24.0,113.74,7.04,4.45,TE_565,8
73.0,250.0,4.74,32.37,23.0,115.67,7.48,4.45,FB_1575,2
76.0,248.0,4.89,35.95,21.0,113.14,7.18,4.26,TE_2195,8
71.0,200.0,4.59,36.5,24.0,123.35,7.0,4.22,RB_2156,6
73.0,235.0,4.68,35.55,28.0,109.62,7.32,4.26,FB_2271,2
77.0,318.0,5.27,26.77,21.0,97.66,8.05,4.82,OL_2649,4
78.0,311.0,5.25,27.74,22.0,107.51,7.72,4.71,OL_2959,4
77.0,253.0,4.77,29.77,19.0,108.56,7.24,4.39,TE_939,8
74.0,229.0,4.83,28.85,17.0,111.81,7.33,4.41,QB_1242,5
76.0,309.0,5.33,27.24,25.0,97.82,7.63,4.82,OL_205,4
72.0,250.0,4.75,30.81,24.0,111.24,7.55,4.23,FB_715,2
75.0,252.0,4.79,35.87,25.0,109.18,7.41,4.46,TE_2901,8
78.0,306.0,5.33,30.1,27.0,98.43,8.12,4.88,OL_528,4
72.0,191.0,4.54,33.86,14.0,124.75,6.97,4.09,CB_1903,0
78.0,315.0,5.15,26.2,25.0,103.9,7.59,4.61,OL_2195,4
71.0,195.0,4.43,34.81,11.0,121.05,7.14,4.13,CB_1378,0
71.0,196.0,4.47,35.04,12.0,115.09,7.06,4.22,WR_2634,9
73.0,215.0,4.59,36.35,19.0,116.39,6.86,4.14,S_2009,7
76.0,300.0,5.12,29.94,20.0,107.77,7.57,4.65,OL_2325,4
72.0,198.0,4.45,38.36,15.0,125.07,6.97,4.08,CB_1488,0
72.0,209.0,4.47,35.7,22.0,112.82,7.24,4.21,RB_726,6
73.0,231.0,4.96,30.84,17.0,111.78,7.19,4.26,QB_248,5
75.0,259.0,4.84,33.3,21.0,113.3,7.18,4.39,TE_2846,8
72.0,195.0,4.48,37.75,14.0,117.66,6.81,4.3,CB_2041,0
69.0,213.0,4.48,31.82,22.0,115.17,7.04,4.28,RB_2816,6
75.0,236.0,4.62,32.99,21.0,114.4,7.14,4.19,LB_2727,3
72.0,201.0,4.64,37.81,18.0,124.33,6.87,4.2,S_166,7
75.0,276.0,5.11,31.95,30.0,114.27,7.47,4.61,DL_2162,1
77.0,258.0,4.83,31.36,21.0,116.46,7.09,4.49,TE_1954,8
75.0,251.0,4.74,31.62,23.0,119.87,7.28,4.3,TE_2265,8
73.0,246.0,4.83,30.11,19.0,110.82,7.27,4.39,FB_2906,2
74.0,243.0,4.65,33.99,19.0,118.81,6.98,4.37,LB_1948,3
72.0,216.0,4.53,34.72,12.0,119.29,7.01,4.33,WR_1418,9
74.0,236.0,4.59,32.17,21.0,121.45,7.12,4.3,LB_533,3
76.0,224.0,4.83,33.39,20.0,104.51,6.91,4.36,QB_2672,5
75.0,289.0,4.84,31.93,23.0,111.91,7.59,4.6,DL_338,1
74.0,215.0,4.47,35.18,14.0,123.0,6.94,4.2,WR_2010,9
75.0,279.0,4.78,28.16,27.0,107.29,7.63,4.51,DL_55,1
76.0,224.0,4.9,30.54,17.0,111.96,7.0,4.17,QB_1831,5
74.0,241.0,4.77,33.09,20.0,114.35,7.33,4.33,LB_1613,3
71.0,203.0,4.53,33.64,21.0,123.39,6.91,4.09,S_2017,7
72.0,203.0,4.59,33.82,20.0,122.17,7.12,4.21,RB_1646,6
74.0,230.0,4.93,29.67,17.0,113.99,7.18,4.18,QB_2405,5
75.0,223.0,4.84,32.79,18.0,104.09,6.96,4.31,QB_1329,5
71.0,188.0,4.5,38.63,18.0,122.45,7.06,4.12,CB_676,0
71.0,215.0,4.48,32.16,21.0,119.15,7.24,4.41,RB_1772,6
74.0,244.0,4.69,35.37,22.0,113.96,7.29,4.36,LB_1960,3
72.0,193.0,4.59,36.05,14.0,117.45,6.9,4.12,WR_318,9
72.0,215.0,4.6,35.2,18.0,115.41,6.86,4.4,RB_2333,6
71.0,189.0,4.48,34.45,11.0,124.29,6.81,4.27,CB_1562,0
76.0,284.0,5.03,31.63,25.0,107.71,7.49,4.62,DL_906,1
76.0,310.0,5.15,30.74,21.0,102.5,7.65,4.67,DL_171,1
77.0,300.0,5.37,29.2,24.0,100.36,8.11,4.58,OL_335,4
76.0,255.0,4.79,31.97,18.0,116.71,7.21,4.28,TE_1014,8
78.0,306.0,5.38,25.47,27.0,106.61,7.86,4.67,OL_4,4
72.0,243.0,4.68,33.32,23.0,111.65,7.36,4.26,FB_1116,2
73.0,201.0,4.65,34.31,18.0,121.45,6.82,4.19,S_1907,7
72.0,209.0,4.52,33.57,17.0,124.09,6.81,4.32,S_2867,7
74.0,202.0,4.42,37.21,16.0,124.61,7.03,4.11,WR_475,9
76.0,287.0,4.85,29.91,30.0,111.2,7.44,4.4,DL_1842,1
76.0,232.0,4.97,31.45,17.0,112.02,7.16,4.26,QB_766,5
78.0,314.0,5.21,28.84,26.0,106.28,7.85,4.66,OL_483,4
77.0,318.0,5.16,27.53,29.0,104.74,7.62,4.6,OL_1595,4
73.0,244.0,4.65,34.28,19.0,117.37,7.16,4.38,FB_996,2
74.0,241.0,4.77,31.81,21.0,118.73,7.03,4.3,LB_1114,3
73.0,237.0,4.78,37.13,19.0,115.75,7.27,4.24,LB_36,3
73.0,237.0,4.73,34.61,24.0,114.29,7.16,4.29,LB_1731,3
75.0,215.0,4.55,33.26,13.0,114.93,6.77,4.3,WR_2608,9
71.0,201.0,4.44,35.92,18.0,119.94,6.98,4.15,WR_1154,9
77.0,317.0,5.24,27.26,29.0,99.07,7.67,4.58,OL_1546,4
75.0,213.0,4.74,32.55,20.0,115.99,7.4,4.22,QB_1161,5
74.0,250.0,4.64,35.52,25.0,113.91,7.13,4.27,LB_1472,3
75.0,298.0,4.86,28.74,23.0,117.02,7.23,4.49,DL_2770,1
75.0,272.0,5.1,33.98,25.0,108.37,7.38,4.62,DL_1637,1
73.0,249.0,4.67,33.09,19.0,118.56,7.09,4.23,FB_364,2
71.0,198.0,4.42,36.28,12.0,122.28,7.02,4.17,CB_1345,0
69.0,220.0,4.53,33.89,22.0,123.37,7.1,4.3,RB_449,6
76.0,311.0,5.2,25.23,21.0,95.99,7.67,4.57,OL_1580,4
75.0,222.0,4.68,32.87,21.0,112.66,7.25,4.23,QB_1592,5
73.0,238.0,4.81,31.31,25.0,113.88,7.41,4.29,FB_2021,2
73.0,237.0,4.65,34.47,22.0,121.76,7.2,4.28,LB_1423,3
72.0,200.0,4.47,37.61,10.0,122.3,6.82,4.18,CB_1890,0
73.0,206.0,4.48,33.85,18.0,122.11,6.95,4.27,S_2991,7
71.0,215.0,4.53,38.0,18.0,121.64,6.85,4.27,S_2814,7
74.0,247.0,4.75,35.29,25.0,112.23,7.18,4.15,LB_2056,3
72.0,184.0,4.43,37.53,11.0,121.79,6.87,4.2,CB_2128,0
71.0,211.0,4.64,37.55,15.0,120.2,7.0,4.28,S_1294,7
71.0,206.0,4.54,35.17,19.0,116.33,6.86,4.3,WR_829,9
76.0,218.0,4.73,31.56,16.0,105.59,6.95,4.41,QB_2664,5
78.0,314.0,5.12,25.61,25.0,95.9,7.61,4.63,OL_745,4
75.0,246.0,4.76,31.87,20.0,112.2,7.41,4.3,TE_1970,8
76.0,310.0,4.92,27.92,23.0,106.71,7.52,4.45,DL_190,1
76.0,309.0,5.4,29.54,30.0,104.01,8.03,4.61,OL_1977,4
73.0,240.0,4.81,30.28,19.0,111.85,7.13,4.24,FB_110,2
71.0,187.0,4.45,33.58,11.0,124.87,7.14,4.12,CB_2835,0
70.0,199.0,4.5,37.49,17.0,121.37,7.13,4.14,CB_2951,0
73.0,246.0,4.73,35.03,21.0,112.87,6.93,4.44,LB_1636,3
77.0,247.0,4.83,34.3,22.0,120.78,7.04,4.32,TE_1691,8
73.0,215.0,4.55,38.08,16.0,121.68,7.0,4.29,WR_2465,9
74.0,195.0,4.54,36.36,11.0,124.26,6.99,4.1,WR_327,9
70.0,189.0,4.58,34.87,12.0,125.32,6.83,4.21,CB_234,0
72.0,197.0,4.42,36.96,16.0,120.81,6.8,4.21,CB_650,0
72.0,234.0,4.72,32.28,21.0,111.79,7.21,4.49,FB_205,2
72.0,190.0,4.47,34.08,14.0,119.32,6.93,4.24,WR_1493,9
71.0,201.0,4.55,36.17,13.0,122.58,7.1,4.16,S_2453,7
71.0,242.0,4.66,30.34,19.0,109.92,7.02,4.21,FB_635,2
73.0,193.0,4.56,32.22,12.0,122.12,6.98,4.15,WR_219,9
75.0,214.0,4.83,32.66,18.0,113.4,6.99,4.22,QB_1655,5
71.0,243.0,4.73,30.0,28.0,108.07,7.08,4.35,FB_182,2
74.0,244.0,4.71,36.21,20.0,118.98,7.11,4.25,LB_383,3
70.0,223.0,4.46,34.62,19.0,113.84,7.08,4.15,RB_170,6
72.0,206.0,4.51,35.24,22.0,117.44,6.96,4.24,RB_1169,6
74.0,306.0,5.11,29.32,24.0,107.37,7.24,4.41,DL_2006,1
75.0,223.0,4.71,32.78,20.0,107.85,7.27,4.36,QB_2710,5
73.0,248.0,4.68,30.41,19.0,113.92,7.3,4.42,FB_864,2
71.0,194.0,4.52,35.41,12.0,123.71,6.88,4.13,CB_1819,0
73.0,204.0,4.65,36.5,18.0,123.18,7.17,4.2,S_1008,7
75.0,282.0,5.14,34.49,24.0,110.35,7.56,4.35,DL_1848,1
72.0,200.0,4.46,36.57,17.0,122.53,6.82,4.17,CB_458,0
72.0,249.0,4.81,31.62,25.0,113.77,7.14,4.32,FB_1785,2
75.0,292.0,4.84,34.47,29.0,116.34,7.41,4.33,DL_2905,1
77.0,311.0,5.31,29.14,22.0,96.87,7.69,4.6,OL_2779,4
75.0,300.0,4.82,27.68,25.0,116.52,7.59,4.63,DL_131,1
74.0,244.0,4.63,32.16,24.0,112.75,7.2,4.41,FB_1510,2
75.0,326.0,5.09,28.69,27.0,94.75,7.98,4.68,OL_1304,4
75.0,284.0,5.07,34.74,31.0,117.51,7.83,4.36,DL_1275,1
72.0,241.0,4.9,30.83,19.0,110.82,7.29,4.47,FB_1518,2
72.0,193.0,4.55,37.25,14.0,115.06,6.85,4.27,WR_2543,9
73.0,243.0,4.82,34.93,25.0,119.5,6.96,4.24,LB_2010,3
72.0,238.0,4.8,35.02,27.0,110.19,7.19,4.55,FB_1852,2
74.0,279.0,4.92,30.26,25.0,107.63,7.61,4.71,DL_633,1
77.0,250.0,4.77,32.02,19.0,112.74,7.07,4.29,TE_2772,8
75.0,293.0,5.01,34.21,26.0,103.85,7.35,4.62,DL_1932,1
73.0,214.0,4.53,35.68,20.0,123.05,7.18,4.3,S_774,7
75.0,212.0,4.42,38.05,16.0,116.09,6.88,4.18,WR_2298,9
71.0,199.0,4.42,34.97,14.0,118.06,6.78,4.12,CB_1742,0
72.0,200.0,4.45,36.68,15.0,120.13,7.08,4.26,CB_838,0
76.0,300.0,5.1,27.68,22.0,110.43,7.57,4.66,DL_2478,1
76.0,252.0,4.75,29.74,20.0,111.91,7.15,4.47,TE_1631,8
74.0,221.0,4.82,28.67,18.0,111.83,6.99,4.3,QB_144,5
76.0,246.0,4.84,34.87,20.0,111.43,7.1,4.29,TE_566,8
74.0,244.0,4.66,35.08,27.0,122.24,7.09,4.3,LB_1347,3
75.0,299.0,4.81,32.04,29.0,104.61,7.6,4.53,DL_336,1
72.0,241.0,4.88,35.49,23.0,115.24,7.42,4.39,FB_1115,2
78.0,301.0,5.37,30.68,28.0,101.92,8.07,4.67,OL_2399,4
74.0,242.0,4.65,33.99,26.0,118.58,7.32,4.41,LB_719,3
74.0,248.0,4.8,35.29,19.0,115.56,7.01,4.26,LB_1772,3
71.0,193.0,4.43,34.36,17.0,116.48,6.93,4.21,WR_815,9
74.0,230.0,4.78,30.44,16.0,103.51,7.14,4.45,QB_1519,5
73.0,248.0,4.8,32.21,24.0,114.36,7.26,4.35,LB_2405,3
71.0,198.0,4.45,34.07,11.0,118.06,7.05,4.24,WR_310,9
73.0,249.0,4.89,34.24,25.0,109.14,7.1,4.41,FB_934,2
74.0,200.0,4.61,35.52,15.0,117.6,7.07,4.18,WR_1639,9
77.0,249.0,4.78,31.06,19.0,111.25,7.01,4.5,TE_1601,8
76.0,255.0,4.79,32.51,21.0,114.02,7.14,4.3,TE_2506,8
71.0,218.0,4.53,32.15,24.0,113.89,6.94,4.32,RB_875,6
74.0,307.0,5.09,32.51,23.0,117.81,7.68,4.56,DL_1862,1
74.0,244.0,4.68,37.08,21.0,116.2,7.0,4.32,LB_2596,3
72.0,248.0,4.63,33.77,22.0,118.94,7.14,4.41,LB_2005,3
71.0,205.0,4.6,36.82,19.0,120.0,7.24,4.17,RB_636,6
71.0,202.0,4.56,35.13,14.0,117.21,6.99,4.07,S_988,7
72.0,202.0,4.47,36.0,18.0,116.92,6.95,4.24,WR_1572,9
76.0,304.0,5.27,27.87,28.0,104.03,8.0,4.61,OL_1526,4
74.0,220.0,4.76,28.82,21.0,106.47,7.15,4.38,QB_1088,5
78.0,324.0,5.4,30.44,25.0,102.12,7.85,4.69,OL_1446,4
73.0,246.0,4.69,34.7,20.0,118.78,7.11,4.33,LB_2409,3
72.0,213.0,4.56,35.73,17.0,120.79,6.91,4.22,S_559,7
75.0,236.0,4.75,34.41,23.0,115.15,6.92,4.25,LB_2143,3
73.0,219.0,4.89,32.55,21.0,115.8,7.21,4.48,QB_1363,5
73.0,195.0,4.55,36.11,18.0,116.28,7.03,4.29,WR_1297,9
74.0,212.0,4.88,29.11,20.0,108.04,7.07,4.19,QB_1993,5
71.0,243.0,4.73,33.88,23.0,110.99,7.08,4.46,FB_2841,2
77.0,305.0,5.13,27.84,24.0,96.98,7.63,4.69,OL_2179,4
72.0,197.0,4.53,37.72,17.0,126.56,7.11,4.27,CB_2024,0
73.0,197.0,4.57,33.91,16.0,125.75,6.96,4.2,WR_1470,9
72.0,198.0,4.49,35.68,13.0,116.54,7.03,4.34,WR_513,9
77.0,254.0,4.75,35.07,16.0,112.21,7.03,4.31,TE_2225,8
76.0,256.0,4.69,33.8,24.0,117.19,7.07,4.37,TE_215,8
74.0,220.0,4.79,33.65,20.0,115.96,6.99,4.32,QB_237,5
74.0,220.0,4.84,33.38,23.0,109.31,6.97,4.22,QB_456,5
73.0,238.0,4.63,32.89,25.0,109.85,7.52,4.43,FB_1794,2
75.0,301.0,5.13,29.82,28.0,106.72,7.99,4.8,OL_2477,4
71.0,206.0,4.46,33.2,18.0,119.16,7.2,4.38,RB_1990,6
75.0,254.0,4.88,32.25,17.0,112.1,7.37,4.48,TE_1883,8
70.0,216.0,4.46,34.61,15.0,117.3,6.94,4.14,RB_2462,6
78.0,307.0,5.25,26.95,24.0,96.89,7.58,4.71,OL_393,4
71.0,190.0,4.53,35.49,16.0,121.74,7.08,4.23,CB_877,0
73.0,201.0,4.56,34.09,15.0,124.39,6.92,4.15,S_2245,7
73.0,239.0,4.71,35.24,19.0,120.12,6.94,4.27,LB_2948,3
71.0,191.0,4.57,37.28,18.0,122.1,7.1,4.27,CB_1985,0
71.0,193.0,4.55,35.69,11.0,124.5,6.99,4.21,CB_1260,0
71.0,198.0,4.52,37.01,17.0,119.17,6.8,4.26,S_1176,7
77.0,301.0,5.37,26.54,23.0,103.33,7.93,4.89,OL_704,4
74.0,282.0,4.83,31.72,27.0,115.49,7.71,4.62,DL_789,1
75.0,302.0,5.31,27.93,29.0,104.68,7.9,4.83,OL_1579,4
77.0,252.0,4.91,32.88,24.0,120.09,7.25,4.37,TE_397,8
75.0,255.0,4.67,35.79,18.0,116.42,7.4,4.34,TE_1320,8
76.0,220.0,4.77,34.1,22.0,113.39,7.35,4.31,QB_2512,5
72.0,246.0,4.82,33.86,21.0,115.88,7.31,4.3,FB_1690,2
72.0,210.0,4.61,37.41,15.0,117.02,7.11,4.13,S_1234,7
76.0,229.0,4.83,31.14,22.0,105.57,7.11,4.2,QB_2924,5
71.0,196.0,4.59,33.22,15.0,126.81,6.81,4.2,CB_283,0
77.0,258.0,4.73,33.33,20.0,113.22,7.32,4.34,TE_1183,8
72.0,249.0,4.76,32.72,23.0,117.37,7.05,4.49,FB_212,2
76.0,252.0,4.78,33.79,23.0,120.64,7.2,4.43,TE_2528,8
71.0,214.0,4.52,37.34,19.0,120.4,7.12,4.25,RB_1502,6
75.0,292.0,4.92,32.49,26.0,104.04,7.66,4.52,DL_1081,1
76.0,220.0,4.99,33.2,20.0,114.16,7.12,4.4,QB_2425,5
74.0,211.0,4.64,34.0,20.0,116.44,7.08,4.25,S_2231,7
72.0,216.0,4.54,34.61,18.0,116.57,7.18,4.23,WR_565,9
73.0,242.0,4.62,35.3,22.0,119.99,7.02,4.28,LB_2753,3
